elevation,aspect,slope,hd_to_hydrology,vd_to_hydrology,hd_to_roadways,hillshade_9am,hillshade_noon,hillshade_3pm,hd_to_firepoint,wilderness,soil,target
3246,309,13,153,28,4224,185,231,186,1889,2,21,0
3084,159,12,242,-23,540,232,242,139,1746,0,21,0
2240,133,32,256,162,649,251,206,58,175,3,2,3
2510,94,10,85,5,361,236,226,120,1532,3,5,5
2877,288,13,30,-3,2080,183,239,195,1015,2,18,4
2671,50,7,90,5,1487,224,225,136,1084,0,28,1
3189,226,22,633,98,4052,183,254,201,930,2,32,1
2854,356,29,90,22,90,162,176,142,1116,0,29,0
3158,14,12,0,0,1507,209,216,143,2432,0,28,0
2221,63,13,0,0,1383,231,212,111,551,3,1,3
3103,227,12,283,59,2936,203,251,183,1584,2,30,1
2801,186,19,362,105,845,220,250,155,1926,2,3,4
2132,106,16,30,6,1275,246,219,97,624,3,2,3
2515,76,15,234,70,390,238,210,99,1006,2,1,2
3080,128,6,258,15,1377,230,236,140,1602,0,28,1
2051,131,18,30,5,841,246,227,102,577,3,0,3
3225,36,14,212,31,1627,218,208,123,553,2,38,6
2308,132,12,108,45,1040,239,234,122,886,3,5,2
2847,9,18,390,49,2737,196,201,138,124,2,9,0
3351,76,14,228,38,2418,236,214,106,2592,0,38,6
2885,327,14,713,119,2234,185,223,177,819,2,10,4
2344,128,17,127,21,127,245,228,106,631,2,3,2
3111,42,28,339,79,752,211,167,74,1761,0,28,0
2712,304,2,0,0,1113,214,238,161,1987,0,19,1
2629,338,18,150,56,1214,177,211,171,832,0,28,1
2508,87,9,0,0,1167,234,224,121,1671,2,16,2
3024,329,7,272,54,2431,204,232,167,1123,0,28,1
2179,112,25,30,5,1421,253,204,63,537,3,1,3
3226,325,19,404,197,2831,168,215,185,2877,2,32,0
2939,45,17,90,14,824,222,201,107,1966,2,30,1
2903,87,27,458,262,474,247,185,48,1905,0,29,4
2842,330,8,60,2,3246,201,231,169,4834,0,28,1
2690,9,7,379,43,845,212,225,151,1945,0,28,1
2610,110,14,510,33,649,243,224,107,618,2,1,4
3165,60,9,210,-9,3262,228,221,126,4992,0,29,0
2583,137,12,0,0,510,238,235,126,1243,0,19,1
2791,68,24,175,-17,218,236,184,66,1383,0,28,4
2418,287,7,216,45,618,200,240,179,1324,3,9,5
2440,18,20,342,170,850,199,193,124,830,3,5,5
3155,167,14,218,46,2900,231,244,142,3360,0,29,0
2433,317,21,216,63,1026,160,217,194,874,3,9,5
2247,119,17,0,0,1475,247,222,97,379,3,2,3
3257,32,22,576,62,964,209,186,104,1626,1,32,0
2458,90,9,0,0,872,235,225,121,685,2,3,5
3735,332,16,949,289,5281,183,219,175,3396,2,39,6
3289,43,12,127,1,3379,222,213,123,2664,2,38,6
2396,309,26,153,9,920,141,213,208,1319,3,9,2
2820,75,16,484,157,497,238,207,95,2242,0,23,4
3182,75,18,85,9,1015,239,202,87,787,2,30,0
3023,88,5,124,-5,2496,228,231,137,1234,2,22,1
3412,6,2,726,173,3127,216,234,155,1860,2,37,6
3178,101,13,335,87,5247,242,222,108,1489,0,28,0
3067,130,12,437,68,5386,239,233,123,3305,0,29,1
2594,218,19,212,94,1172,195,254,190,1208,2,2,2
3215,84,10,192,-3,937,234,224,121,2828,1,22,1
2182,333,24,210,61,616,157,201,179,201,3,9,5
2398,58,15,537,104,604,230,208,108,1032,3,2,5
2320,316,25,134,7,564,146,210,200,484,3,9,2
2678,127,16,300,22,870,245,228,107,495,2,1,2
2537,142,13,85,9,426,239,237,125,2188,0,29,1
3344,174,15,1031,105,2646,228,246,147,2200,2,30,0
2214,299,13,0,0,741,183,235,192,1579,3,3,3
2841,65,16,190,82,1489,233,207,101,1421,2,32,4
2064,130,8,0,0,934,234,236,133,192,3,0,3
2702,94,25,170,48,201,250,194,57,604,0,29,4
1932,352,29,210,81,180,157,177,149,782,3,4,5
2072,270,26,339,8,474,145,239,228,1006,3,0,5
2219,339,27,85,29,949,151,190,171,1368,3,9,2
3377,290,14,366,62,1683,180,237,197,1974,2,31,0
3435,350,9,511,96,1616,203,224,160,1345,2,37,6
3310,171,17,285,51,3152,229,246,142,1359,2,31,0
2378,273,18,30,7,577,168,242,212,551,3,9,5
2163,125,30,67,37,1235,253,203,54,595,3,2,3
2270,223,30,120,70,977,169,252,204,582,3,0,2
1996,96,13,0,0,210,240,221,109,256,3,5,3
2736,111,6,0,0,1465,230,234,137,2419,0,22,4
2625,32,12,30,5,558,217,214,131,1290,2,32,1
2597,328,27,95,-15,1396,146,198,186,1781,2,12,5
2356,210,10,395,62,1191,212,250,173,730,3,5,3
2735,148,23,30,10,1398,243,230,103,1431,2,3,4
2473,113,25,270,8,417,253,205,63,926,2,3,2
2804,139,13,120,13,3219,240,235,123,5995,0,11,1
3280,225,1,150,20,5609,217,240,160,850,0,37,0
2083,280,36,90,44,395,103,218,242,551,3,9,2
2700,103,4,90,1,42,227,234,141,785,2,16,4
2455,98,12,127,26,598,240,223,111,1641,3,5,2
3401,180,9,95,4,2563,224,246,155,309,2,37,6
2688,120,28,108,-43,295,254,203,56,524,0,29,4
2292,17,16,0,0,1224,206,206,134,1215,3,9,3
2502,326,21,108,48,768,164,212,185,552,2,9,5
2422,300,11,210,78,1015,188,235,188,1499,3,9,5
2300,30,32,212,139,759,193,154,78,443,3,9,2
2447,112,9,0,0,1354,237,230,124,663,2,3,5
2490,90,8,108,17,810,232,228,129,5189,0,17,4
2771,68,24,150,-19,182,236,186,68,1347,0,28,4
2389,12,10,60,9,150,210,220,146,295,2,9,5
3308,60,18,300,14,1786,231,200,95,2701,0,38,6
2836,355,13,0,0,1533,198,217,156,1172,2,22,4
3166,349,5,162,-2,764,211,232,159,1082,1,21,0
2260,233,31,459,212,509,153,249,218,834,3,0,2
2804,148,10,30,4,2016,234,239,136,2326,2,25,4
3163,356,32,499,21,5881,152,166,139,1057,0,28,0
2209,330,17,0,0,1087,177,217,178,616,3,9,3
2978,19,16,589,109,2372,206,203,131,2114,2,23,1
3492,300,17,153,78,3014,169,231,201,1966,0,39,0
2896,301,18,30,6,5974,169,230,201,4829,0,29,1
2626,293,32,67,38,1506,115,213,230,1138,2,12,5
3313,68,20,379,84,600,236,196,83,800,1,23,6
3215,90,6,0,0,3903,229,231,136,2806,0,22,6
2063,21,7,0,0,685,215,224,146,853,3,2,3
2299,88,20,150,58,228,245,203,79,1698,3,2,3
2801,0,14,698,67,360,199,214,151,1022,2,10,1
3233,79,4,124,0,3454,224,233,144,1899,0,37,6
2475,177,18,60,16,2007,226,247,146,272,2,1,2
3361,164,10,902,159,3059,230,243,145,1015,2,37,6
2317,39,29,175,101,638,207,163,74,960,3,9,5
2638,222,21,216,20,3046,188,254,196,1939,2,12,4
2692,73,11,481,25,871,233,220,118,1753,0,11,1
2797,336,26,234,103,2825,153,195,176,1924,0,28,1
2830,352,16,67,12,2672,190,211,158,1959,0,28,1
2283,322,23,228,71,1167,154,209,192,792,3,9,5
2102,288,3,0,0,1350,211,239,166,888,3,16,3
2515,322,15,362,72,180,180,223,183,1899,3,9,2
3288,17,9,693,27,3799,213,221,145,3822,0,28,0
2338,114,23,319,144,937,252,209,71,1406,3,2,3
2816,120,13,108,20,2268,242,229,114,1250,2,12,4
2788,72,10,30,6,1012,232,220,119,2164,2,16,4
2968,207,14,408,62,5750,211,252,174,2713,0,29,1
2337,206,11,342,226,934,213,250,171,424,3,5,3
1997,41,14,90,28,210,221,208,119,350,3,5,2
3422,106,23,953,212,895,251,206,71,218,1,37,6
2657,198,18,234,27,3115,212,252,169,1867,2,12,4
2893,84,7,150,-6,4773,231,227,129,1507,0,22,1
2632,126,7,384,113,1549,232,236,137,1861,2,1,2
3084,61,6,85,-3,1693,225,228,137,757,2,30,0
3021,330,11,30,9,883,193,226,172,1355,1,21,1
2198,332,24,247,37,604,156,201,179,577,3,9,2
2412,67,22,382,105,864,235,191,76,845,3,1,2
2620,193,5,342,75,1652,219,244,160,1872,2,1,2
2296,230,20,384,176,1018,186,254,200,518,3,2,3
3035,226,17,30,6,1498,193,254,193,90,2,31,1
2981,15,17,721,112,2377,202,201,133,1535,2,23,1
2789,74,49,201,35,218,219,99,0,1445,0,29,4
3511,12,11,531,141,1385,209,217,145,1871,1,39,6
2821,353,24,134,69,3594,172,191,152,5876,0,28,0
2422,279,28,324,-12,630,133,230,231,1664,3,9,2
2702,304,28,190,145,1761,132,213,215,1387,2,12,5
1871,36,19,134,26,120,215,194,107,797,3,1,5
3367,225,10,339,45,3735,207,249,179,2124,2,37,6
3431,81,17,666,198,2213,241,208,92,1477,0,38,6
3228,103,16,511,96,743,245,218,97,5592,1,21,0
2290,84,22,0,0,1328,245,197,70,824,3,16,3
2579,9,15,127,37,648,202,210,142,3139,0,28,1
2350,251,20,285,56,1140,172,249,213,750,3,5,3
2888,93,18,30,10,1231,245,210,87,1643,0,29,0
2151,322,29,150,78,1466,135,197,196,759,3,9,2
3440,320,15,335,23,5079,181,225,183,4082,2,37,6
2766,355,13,426,88,2821,198,217,156,1383,2,31,4
2917,165,18,330,79,825,233,243,133,2147,2,32,4
2885,193,24,582,53,752,209,250,162,1692,2,3,4
2769,309,13,0,0,2143,184,231,187,787,2,30,4
3370,77,3,503,31,1020,224,233,145,2377,2,31,6
2924,19,11,618,158,2400,212,217,141,607,2,10,1
3389,29,12,630,150,3030,216,213,132,2310,2,38,6
3127,154,11,708,86,509,234,241,137,1774,2,22,1
2842,152,17,216,19,750,239,238,122,417,0,29,4
2779,308,14,256,44,1733,180,230,190,1099,2,9,4
2196,102,33,212,128,525,253,177,23,190,3,2,3
3254,15,10,570,51,1907,211,219,144,999,2,30,0
2803,88,12,295,47,2032,238,220,110,1900,0,11,1
3412,48,17,706,63,3479,224,201,105,1595,2,38,6
2609,148,8,268,52,2664,231,240,141,752,2,1,2
3369,280,7,313,47,3890,201,241,179,2044,2,37,6
2652,191,15,85,34,1989,218,250,162,2101,2,3,2
2907,44,14,360,52,703,222,209,118,1032,2,31,1
3136,350,14,30,7,3085,194,216,159,2250,2,30,0
3130,38,8,124,4,900,220,223,138,1889,0,21,0
3201,61,8,513,88,3483,227,223,129,3456,0,38,1
3299,34,17,95,-1,3470,215,200,116,2802,2,38,6
3289,340,14,566,176,3640,189,218,168,3631,2,39,6
2508,264,20,216,81,1273,165,245,216,579,3,9,5
2853,129,13,295,128,1894,241,232,118,618,2,31,4
3436,314,18,1040,298,4217,168,223,193,2609,2,39,6
3382,108,9,95,8,3836,237,229,123,2737,2,38,6
2782,98,22,190,107,1343,249,202,70,895,2,12,4
2972,244,13,541,73,5720,193,250,194,5623,0,28,1
2936,304,7,258,29,5100,200,236,176,1758,0,22,4
3130,45,3,192,27,870,220,233,150,1852,0,21,0
2314,273,21,247,61,379,161,241,217,573,3,9,2
2394,350,12,42,2,845,198,220,160,1020,3,15,5
2864,296,14,0,0,2120,179,235,196,949,2,18,4
2732,158,11,175,29,1864,232,242,140,1095,0,11,1
2993,65,7,134,17,5057,227,226,134,1176,0,28,1
2544,88,22,30,9,1075,246,199,71,595,2,19,2
3401,108,9,67,4,2359,237,229,123,3639,0,37,6
2884,79,10,42,6,1830,233,223,121,2408,2,21,0
2218,138,32,67,37,1167,248,211,65,1124,3,2,3
2273,352,22,0,0,930,177,197,154,765,3,9,2
2653,319,10,30,6,2006,194,231,177,2356,2,9,5
2810,89,11,153,23,658,236,223,117,150,0,28,4
2816,132,11,95,5,2067,238,234,125,2290,2,25,4
3166,64,7,306,129,2202,227,226,133,1110,2,31,0
3378,274,11,794,150,2190,190,243,192,1129,2,31,0
2459,309,15,30,4,828,179,230,191,633,2,16,5
2252,10,27,0,0,1506,180,175,121,997,3,9,3
3202,117,16,339,78,711,245,224,103,755,2,30,1
2503,4,13,0,0,1532,202,214,148,1530,2,16,5
2216,224,27,67,33,992,173,253,204,509,3,0,2
3210,38,28,630,214,800,208,168,80,1947,0,29,6
3276,16,4,108,0,1101,216,231,152,2345,0,37,0
2310,104,25,234,116,882,252,199,59,1434,3,2,3
2112,317,27,60,38,757,140,205,200,930,3,9,5
3219,137,48,351,62,1110,235,168,3,1061,2,38,6
2846,36,24,300,184,309,210,179,93,1506,0,28,4
3384,92,15,553,227,1451,242,216,99,937,2,38,6
2504,44,18,60,14,1154,221,199,106,908,2,9,5
2575,165,16,30,4,1595,232,243,137,1201,2,16,2
2677,314,18,162,46,1090,170,223,192,1947,0,28,1
2845,143,12,256,14,2848,237,237,129,2635,0,11,1
2326,114,34,175,85,424,254,184,28,1867,3,2,3
2454,163,24,270,-95,1230,234,238,119,1543,2,3,2
2563,45,0,417,21,1120,218,237,156,1262,2,1,2
2444,74,16,67,29,967,237,207,95,939,2,1,5
2730,54,10,30,0,2362,226,218,124,2308,2,10,2
2443,116,15,170,45,573,245,224,104,1475,3,5,5
3154,18,20,850,83,2852,199,193,124,2435,2,23,1
2243,98,15,95,22,600,243,218,100,1699,3,2,3
2971,325,15,420,45,5198,181,222,180,1782,0,28,4
2235,113,23,212,99,1290,252,208,70,684,3,2,3
2858,189,17,90,19,1092,218,251,160,2367,2,32,4
2715,1,16,124,2,2475,195,208,149,458,2,30,4
3274,337,10,95,12,4671,199,227,167,854,2,31,0
3421,176,12,30,0,1276,226,246,150,1142,1,39,6
3331,47,17,518,166,3536,224,201,107,1871,2,38,6
3214,102,14,277,6,3814,242,221,105,3738,0,22,0
2214,22,18,150,125,212,206,198,125,534,3,9,2
2072,327,20,0,0,849,168,213,183,661,3,9,2
2675,333,26,150,68,1279,152,197,179,1919,2,12,5
2503,63,22,67,18,1315,233,188,76,1273,2,3,5
2161,100,35,150,110,470,252,170,16,210,3,2,3
3242,253,17,228,42,3055,180,249,205,703,2,31,0
2994,287,8,342,101,5279,198,240,181,990,0,29,1
2262,45,4,0,0,1271,221,231,146,604,3,2,3
3137,17,17,525,-3,2162,204,203,132,1211,2,31,1
2423,70,18,180,65,760,236,202,90,1379,3,5,5
3255,129,15,30,0,5947,244,230,110,417,0,37,0
3337,133,22,573,156,1519,249,223,90,1092,1,32,0
2826,78,16,120,25,2910,239,210,97,2255,0,28,4
2092,147,17,0,0,366,240,236,119,541,3,3,3
2263,241,10,150,25,390,202,248,184,511,3,9,2
2508,48,13,295,50,721,224,212,120,993,2,1,5
2548,50,23,60,-3,663,223,184,84,1350,2,9,5
3363,85,11,134,6,2379,236,221,114,1113,2,38,6
2676,48,14,108,23,2069,224,208,115,1922,2,9,5
3008,62,24,480,-16,2264,232,182,69,1921,2,32,0
2823,312,7,30,0,1410,202,235,173,1065,2,22,4
2123,46,23,0,0,1100,220,184,88,1456,3,16,3
2198,281,11,30,-8,1519,190,241,191,912,3,16,3
2963,37,5,60,2,5362,220,229,145,2379,0,22,0
2252,34,31,0,0,1486,199,157,76,977,3,16,3
3393,250,18,108,25,2036,177,250,208,3578,1,31,0
3254,155,11,240,36,2780,233,241,138,2524,0,28,6
3456,262,14,95,30,5311,184,247,201,4022,2,37,6
2395,300,19,255,2,1110,164,229,204,124,3,9,5
2962,120,13,170,40,4136,242,229,114,5181,0,29,1
2919,16,6,30,0,4943,215,227,149,2496,0,15,0
3552,82,16,228,50,2629,240,210,96,3915,0,39,6
3283,86,17,571,32,853,242,210,93,2642,0,21,0
2721,111,15,0,0,2707,245,222,101,2228,0,28,4
2955,155,18,297,54,426,238,239,124,834,2,31,4
2463,65,31,258,96,633,232,163,41,721,3,9,2
2084,14,10,0,0,794,211,220,145,162,3,3,3
2322,354,22,134,60,1203,178,196,152,648,3,9,5
2339,280,23,295,86,376,150,235,222,631,3,9,2
3384,315,12,362,62,3838,188,230,182,1888,2,37,6
3394,114,8,720,155,2940,233,233,131,2313,2,38,6
2768,319,16,216,52,1691,176,224,187,1128,2,10,4
2701,95,11,390,-22,711,238,224,116,212,2,3,5
3230,84,5,270,-11,6064,227,231,139,579,0,22,0
2840,4,17,85,17,2352,195,205,145,2731,0,28,0
3478,41,15,703,244,2192,221,207,118,1718,0,39,0
2889,352,7,443,73,3680,208,229,158,3134,0,11,1
3456,302,10,659,167,1032,191,235,184,1260,1,39,0
2718,80,23,153,77,175,243,192,66,876,0,29,4
2392,325,30,150,71,212,133,193,192,268,3,9,2
3167,49,16,283,1,1353,225,204,109,323,2,23,0
2372,24,35,42,25,446,178,144,80,661,3,9,5
2412,85,15,371,22,927,240,213,99,924,3,1,2
2953,92,17,518,61,2073,244,211,90,2669,2,30,1
3400,259,8,671,207,4685,202,245,182,2801,2,37,6
2515,61,22,95,29,1337,232,190,79,1302,2,3,5
2156,297,25,153,92,543,143,223,216,371,3,9,2
2110,163,7,0,0,1195,227,242,148,1266,3,16,3
3444,107,26,402,206,3732,253,199,58,3369,2,38,6
2989,288,7,532,-45,1594,201,240,178,1758,2,30,1
3057,152,12,514,137,2132,235,240,134,1302,2,12,1
2226,84,21,0,0,960,244,200,76,997,3,5,3
3168,14,10,342,55,4842,210,218,144,1556,0,28,0
2105,136,17,0,0,1397,244,231,109,824,3,0,3
2755,61,27,306,82,313,231,174,60,2039,0,28,4
2786,76,46,150,132,162,226,113,0,1338,0,29,4
3368,96,13,30,-4,2270,240,221,109,3376,0,37,6
2790,45,7,0,0,932,222,225,138,2527,2,10,4
2288,108,25,234,101,1008,253,202,62,1308,3,2,3
2566,47,10,335,-28,1218,224,218,128,1184,2,3,2
3434,68,8,170,-19,1198,229,223,127,979,1,37,6
3176,351,17,351,101,3833,188,209,158,1932,2,38,1
3091,307,9,60,9,5049,194,235,180,679,0,28,0
2280,4,7,0,0,1048,211,227,153,371,3,15,3
3224,344,10,664,80,6189,201,225,163,1320,0,28,0
2857,120,30,127,59,4927,254,199,49,4614,0,29,1
2770,92,13,216,36,430,240,219,107,376,0,29,4
2812,129,30,90,10,702,252,206,57,1383,2,12,4
2855,188,7,300,28,781,221,245,159,488,0,29,4
2209,23,24,30,11,1434,198,180,109,771,3,9,2
2362,261,26,306,68,1134,149,243,227,721,3,5,3
2239,21,29,108,0,469,189,166,100,769,3,9,5
3412,128,11,430,127,2032,238,233,124,1587,0,39,0
2173,22,13,30,-1,1271,211,211,134,886,3,16,3
2636,79,21,242,79,2135,242,198,76,738,2,3,5
2286,113,14,256,128,1406,244,224,107,824,3,2,3
2709,22,11,242,30,2292,213,216,138,1954,2,31,5
2831,95,21,180,52,3240,248,204,74,691,2,9,1
2460,52,8,0,0,1406,225,222,131,690,2,3,5
2954,0,9,564,39,2858,208,224,154,1385,2,30,1
2678,202,17,309,71,2162,210,253,173,2484,2,3,2
2582,116,9,400,71,450,236,231,126,234,2,1,2
3413,95,18,270,101,2439,245,211,89,1953,2,38,6
2583,14,18,240,83,1684,200,199,132,981,2,9,5
2650,316,27,120,37,1498,138,205,202,1678,2,12,5
2102,85,10,0,0,1342,235,223,119,900,3,16,3
2543,25,12,120,-1,1477,213,213,134,1511,2,1,4
2436,49,21,60,16,832,223,190,92,1364,2,9,5
2412,117,14,234,56,741,244,226,108,1321,3,1,5
2637,116,19,297,85,2110,249,218,89,782,2,3,2
3120,88,14,277,82,210,240,217,105,1657,0,21,1
2289,105,41,277,185,876,250,157,0,335,3,2,3
2566,77,9,404,120,616,232,224,125,1084,2,1,5
2269,133,24,216,111,1410,250,221,85,816,3,2,3
2723,83,28,153,69,175,245,181,46,1917,0,29,4
2337,150,29,339,-5,424,242,224,89,743,3,2,2
2394,69,12,108,24,1110,232,217,115,787,3,5,2
3034,208,4,618,62,5592,217,243,162,6403,0,11,1
3037,150,9,484,183,6359,233,240,138,3937,0,28,1
3394,97,22,361,-2,2124,249,204,72,3443,0,39,6
2207,337,23,30,2,1405,164,202,174,994,3,9,3
2924,161,17,323,83,3013,235,241,130,3267,0,29,1
2368,48,19,277,121,1260,224,196,99,1237,3,1,2
2678,14,12,120,7,2089,209,216,143,1899,2,9,4
2374,107,31,268,149,474,254,187,36,1829,3,2,3
3277,29,14,108,7,3353,214,208,127,2755,2,38,6
2214,219,6,0,0,1116,213,246,170,277,3,0,3
3194,326,30,192,49,430,133,192,191,2420,1,32,0
3483,48,22,60,4,1762,222,186,87,1945,1,38,6
2263,253,26,60,28,1260,153,246,225,446,3,1,5
3344,76,6,60,9,2291,228,229,136,1148,2,38,6
2302,68,32,60,47,1036,234,161,35,1130,3,3,5
3369,57,10,283,47,2083,227,220,126,3491,0,37,6
2202,69,7,30,3,768,228,226,131,1530,3,2,3
2384,124,7,120,10,591,232,235,136,902,2,1,2
2758,284,20,60,11,1556,160,235,214,1159,2,12,0
2590,41,25,120,56,1099,214,176,84,1121,2,32,1
2251,117,25,0,0,1443,253,208,67,418,3,2,3
2380,62,27,335,90,764,231,173,58,379,3,9,3
2868,171,18,90,13,382,230,245,139,1092,2,12,4
2583,227,41,95,53,1528,132,239,216,1233,2,2,2
2998,45,10,295,49,4297,223,219,130,5094,0,28,0
2816,141,19,150,-6,781,244,232,109,335,0,29,4
3009,226,31,720,72,3941,161,250,210,1256,2,32,1
3152,60,13,558,71,1266,230,212,113,2530,2,31,0
2364,253,22,485,-12,242,164,248,218,721,3,9,2
2753,126,9,0,0,532,235,234,130,2778,2,19,0
2135,33,30,95,40,170,199,160,79,664,3,9,5
2407,25,27,95,24,648,196,172,100,731,2,9,5
2225,108,8,0,0,510,233,232,130,1809,3,2,3
2291,129,16,0,0,1065,244,229,108,306,3,5,3
2045,352,10,0,0,895,202,222,158,570,3,16,3
3155,344,12,134,10,2105,195,220,164,2877,0,28,0
2254,312,13,0,0,1142,185,230,185,424,3,0,3
3341,331,29,95,38,3492,140,191,182,2371,2,23,6
2422,337,21,180,92,792,170,207,173,511,3,9,2
2790,41,10,516,-16,860,221,218,131,2563,0,28,1
3185,333,15,390,82,3266,184,220,174,2571,2,30,0
2318,207,10,30,4,537,214,249,170,644,3,16,3
3251,176,7,551,48,1631,224,244,154,1321,2,12,1
2645,178,24,124,41,1789,222,246,142,1460,2,2,1
2035,73,18,30,6,301,238,203,91,376,3,2,3
3423,212,14,720,223,2236,207,253,178,960,2,37,6
2445,22,15,450,175,955,209,207,131,1012,3,5,5
3409,322,8,247,36,2340,200,232,172,2630,2,37,6
2312,28,36,95,68,1458,183,141,70,1116,3,9,2
2413,88,34,60,19,666,246,163,16,1144,2,3,2
2368,7,17,182,41,1290,198,205,142,323,3,9,5
2478,38,8,108,13,150,220,223,138,1205,2,16,2
2112,236,3,30,-8,1187,213,242,166,1250,3,16,3
2997,41,16,553,116,1714,221,204,115,3068,2,32,1
2722,184,25,300,138,1703,217,247,148,1195,2,3,2
3449,105,15,108,-11,1265,244,221,103,1034,1,39,6
3364,352,14,42,9,3529,195,215,157,2381,0,36,6
2704,335,21,42,7,2777,168,207,176,2080,0,28,4
2403,327,22,170,60,1332,162,210,185,577,3,9,5
2953,2,17,212,18,4994,194,205,147,1905,0,28,4
2678,51,6,212,31,1894,223,227,139,2363,2,1,5
2171,51,36,120,76,569,212,140,34,837,3,9,5
2575,52,20,543,-24,900,226,193,93,1048,2,3,2
3251,336,6,42,1,1556,206,231,164,1182,2,37,0
2207,121,21,42,14,976,250,218,85,1315,3,2,3
2325,152,16,319,137,1273,238,239,127,1075,3,5,3
3031,85,15,30,10,3895,241,212,97,2613,0,28,0
2148,146,21,30,6,1231,244,232,106,1233,3,0,3
3384,116,32,242,146,3851,254,191,38,3355,2,32,6
2077,258,35,108,75,210,116,234,242,120,3,4,2
2444,130,21,60,-11,787,249,223,92,957,2,3,2
2754,335,27,162,1,1337,150,194,177,1917,2,12,5
2850,132,24,228,64,2134,250,219,83,1382,2,12,4
3041,90,8,42,3,1200,232,228,129,2984,2,22,0
3362,97,11,212,39,2366,239,224,114,2624,0,38,6
3036,82,18,42,13,738,242,206,87,408,2,32,1
2083,90,30,85,39,285,249,177,33,379,3,9,3
2379,102,21,182,57,228,250,207,75,741,2,3,2
2535,38,17,67,0,2624,218,201,113,781,2,9,5
2537,63,5,256,13,1237,225,229,139,4187,0,17,1
2464,315,13,67,28,376,184,229,184,1900,3,5,2
2281,119,19,212,93,1279,249,220,92,1032,3,2,3
2068,81,35,30,17,430,242,157,0,242,3,2,3
2790,145,15,175,23,1019,239,237,123,830,2,1,2
2461,44,16,553,117,810,222,202,110,1410,3,5,5
3048,230,18,330,36,2053,189,254,197,1959,2,22,1
3565,62,27,283,146,1606,231,173,58,1463,1,39,6
2971,69,18,150,33,2220,236,203,92,1999,2,30,1
2501,67,20,85,20,1131,236,197,85,1006,2,9,2
2209,13,29,180,84,1090,178,167,113,1142,3,9,2
2281,80,9,0,0,1019,233,223,122,379,3,15,3
2640,18,19,30,2,1323,202,198,127,579,0,28,4
2283,271,27,516,145,459,140,237,230,1774,3,9,2
2598,144,4,0,0,1922,226,239,147,2766,2,16,5
2511,1,11,85,2,295,204,219,152,1466,2,9,5
2616,63,12,582,90,1127,230,215,116,3880,0,28,1
2498,6,9,0,0,1471,209,222,151,1748,2,19,5
2183,339,7,30,2,1106,206,231,163,1191,3,3,3
2342,348,6,0,0,1448,209,231,160,351,3,5,3
3237,152,14,541,146,5386,237,239,130,1503,0,21,0
2437,16,17,319,56,577,203,202,132,1216,3,9,5
2033,359,36,360,182,330,142,149,126,930,3,4,5
3304,42,14,60,-4,3504,222,208,118,2863,2,38,6
3285,62,37,108,85,2812,222,138,0,351,2,38,6
2757,287,15,30,8,1758,178,238,200,1073,2,22,4
2454,218,14,42,12,1902,204,252,182,162,2,1,2
2078,97,16,30,2,706,244,215,95,85,3,2,3
2570,191,15,175,23,2188,218,250,162,1978,2,1,4
3449,327,24,30,10,1671,155,205,186,1981,1,38,6
2414,344,17,495,172,1490,183,211,165,630,3,5,2
1929,53,21,150,53,180,226,189,86,902,3,2,2
2250,72,17,0,0,1020,237,206,95,990,3,5,3
2254,8,24,210,64,1084,184,185,131,234,3,9,2
2444,124,20,210,49,1121,249,221,92,1304,2,3,2
3215,109,12,666,51,1959,241,226,113,2501,2,32,0
2146,100,14,0,0,1422,243,219,102,774,3,2,3
2356,124,33,330,62,1106,253,194,39,663,3,5,3
2776,70,31,190,133,201,235,162,35,2070,0,29,4
2811,327,20,418,64,1869,167,213,184,1018,2,9,4
2153,40,22,30,10,1256,215,185,94,543,3,13,3
2680,35,17,595,-23,618,216,201,116,1430,2,10,2
3163,12,22,0,0,1399,191,189,128,866,2,21,6
3400,220,8,85,7,2793,210,248,174,492,2,37,6
3375,204,12,108,3,4262,213,251,171,3449,2,32,6
3388,337,2,192,10,2486,215,236,159,2489,0,39,6
3204,11,14,443,98,1050,205,212,142,2251,2,21,0
3330,330,12,524,85,3381,192,226,173,3429,2,39,6
3269,86,10,192,15,2722,234,224,120,2714,0,29,0
2831,172,23,124,83,1894,228,243,134,1032,2,12,4
3722,328,15,912,276,5430,184,222,177,3539,2,39,6
2388,48,21,134,46,247,222,189,91,285,2,2,5
3140,245,11,339,95,470,198,248,188,741,2,23,1
3373,28,26,247,92,2352,200,173,97,1189,2,39,6
3787,8,15,1062,341,4851,201,208,143,2960,2,39,6
2749,353,12,0,0,711,199,218,157,2124,0,19,0
2477,102,25,180,83,794,252,200,61,1260,2,3,2
2189,342,16,30,7,1368,186,214,166,706,3,9,2
2299,129,26,30,12,1385,251,215,75,819,3,2,2
2665,127,24,60,11,1410,251,216,77,685,0,29,4
2373,118,19,395,176,642,249,220,92,1698,3,5,3
2295,292,22,60,25,1321,153,230,214,446,3,9,5
3056,178,11,228,47,1802,225,246,153,1517,2,22,0
2214,127,31,162,101,1024,253,202,51,408,3,2,3
2600,31,11,175,15,1790,217,217,134,1987,2,10,5
3386,175,10,1050,147,2896,226,245,151,1697,2,37,6
2184,116,9,0,0,1062,236,231,126,1231,3,2,3
2440,250,15,30,12,853,187,249,199,973,2,13,2
3450,63,14,607,216,2071,232,211,109,1826,0,39,0
