,elevation,aspect,slope,hd_to_hydrology,vd_to_hydrology,hd_to_roadways,hillshade_9am,hillshade_noon,hillshade_3pm,hd_to_firepoint,wilderness,soil,target
1204,2729,57,11,201,59,218,228,217,121,2099,0,28,4
1205,2715,55,12,127,38,134,227,215,119,2022,0,28,4
1206,3112,253,10,108,4,5532,198,247,187,3152,0,21,1
1207,2758,61,24,295,92,313,231,182,69,2162,0,28,4
1208,2747,62,21,268,79,285,233,193,83,2136,0,28,4
1209,2714,38,11,124,41,127,220,216,130,1981,0,28,4
1210,3154,54,15,361,67,5023,228,207,109,3302,0,29,0
1211,3111,261,9,95,3,5521,199,245,185,3182,0,21,1
1212,3212,135,8,218,21,5689,233,237,135,3196,0,28,1
1213,3178,93,13,551,42,4577,240,220,108,2154,0,28,1
1214,2719,54,6,134,46,150,224,226,137,1965,0,28,4
1215,3161,315,12,90,22,4508,189,230,181,3556,0,28,0
1216,3108,56,5,30,2,5387,223,229,141,3260,0,22,1
1217,3155,111,7,395,21,4447,233,232,131,1995,0,28,1
1218,2871,67,22,600,197,626,236,192,77,2391,0,23,4
1219,2835,81,17,524,169,541,241,208,92,2309,0,23,4
1220,2809,75,16,443,146,457,238,207,95,2227,0,23,4
1221,3191,81,5,457,15,4686,226,231,140,2224,0,28,1
1222,2915,146,15,42,10,1528,239,237,123,1376,0,28,1
1223,2799,60,13,408,129,417,230,212,113,2160,0,28,4
1224,2751,72,24,301,74,306,239,187,66,2053,0,28,4
1225,2731,73,14,212,60,218,236,213,105,1973,0,28,4
1226,2748,46,18,277,75,285,223,198,103,2012,0,28,4
1227,2741,49,17,247,70,256,225,200,103,1986,0,28,4
1228,2725,65,18,190,46,201,234,201,93,1932,0,28,4
1229,2709,77,14,134,29,150,237,214,105,1879,0,28,4
1230,3212,198,6,459,21,5955,218,245,163,3132,0,28,1
1231,2822,41,19,488,152,495,219,194,103,2190,0,28,4
1232,2806,40,22,400,129,408,216,185,95,2108,0,28,4
1233,2765,53,29,313,92,323,221,163,56,2026,0,28,4
1234,2750,41,22,256,71,268,216,186,95,1972,0,28,4
1235,2751,51,23,242,77,256,224,184,82,1932,0,28,4
1236,3209,74,20,306,82,4092,239,198,81,3629,0,21,0
1237,3146,291,10,30,-6,4362,192,239,186,3477,0,21,0
1238,3183,99,5,90,4,5472,228,233,140,2982,0,22,1
1239,2917,301,10,30,1,1634,193,236,183,1318,0,28,0
1240,2786,53,29,335,107,350,221,163,56,2001,0,28,4
1241,3195,230,7,466,75,6006,209,247,175,3032,0,28,1
1242,2797,55,28,350,118,362,224,168,59,1989,0,28,4
1243,2753,60,25,242,74,258,230,179,67,1879,0,28,4
1244,2784,55,25,309,105,324,226,178,71,1922,0,28,4
1245,3088,124,17,182,39,3424,246,226,102,800,0,28,0
1246,2745,58,24,212,78,240,229,183,74,1800,0,28,4
1247,2724,60,21,153,52,180,231,192,84,1745,0,28,4
1248,2702,75,18,95,30,120,239,202,87,1691,0,28,4
1249,3178,263,9,272,58,5807,197,245,187,2941,0,21,1
1250,3131,169,5,162,-5,4073,224,242,153,1478,0,28,0
1251,2801,60,27,335,122,361,229,172,59,1900,0,28,4
1252,2763,56,23,247,96,272,228,185,79,1816,0,28,4
1253,2740,59,23,190,68,212,230,184,75,1761,0,28,4
1254,2987,352,13,228,14,2554,197,218,158,268,0,28,0
1255,2946,18,16,42,10,1776,206,205,133,1236,0,28,0
1256,2770,52,23,256,105,277,225,183,80,1805,0,28,4
1257,2736,62,24,175,64,190,232,182,69,1722,0,28,4
1258,2803,57,32,323,136,342,223,157,45,1851,0,28,4
1259,2743,62,26,180,71,201,231,176,62,1710,0,28,4
1260,2729,69,30,150,54,175,236,168,42,1682,0,28,4
1261,2711,69,25,120,36,150,237,182,62,1655,0,28,4
1262,2703,60,16,90,35,120,231,205,102,1627,0,28,4
1263,3173,90,11,270,2,4838,237,222,114,2251,0,28,0
1264,3148,146,5,150,12,4583,227,239,146,1981,0,21,0
1265,3081,154,11,212,25,3556,234,241,137,872,0,28,0
1266,2891,48,17,268,-36,659,224,201,105,2155,0,28,1
1267,2830,51,29,360,163,379,220,166,61,1869,0,28,4
1268,2799,52,29,300,127,323,220,164,59,1812,0,28,4
1269,2763,59,28,210,91,240,228,171,58,1728,0,28,4
1270,2716,69,27,120,48,150,237,177,55,1643,0,28,4
1271,3122,158,8,67,2,4200,229,242,146,1560,0,21,0
1272,2771,60,29,210,96,240,228,167,52,1717,0,28,4
1273,3140,255,14,162,23,5678,187,248,199,2794,0,21,1
1274,3140,135,5,67,4,4547,228,238,144,1920,0,21,0
1275,2963,32,9,0,0,1762,218,221,138,1350,0,28,1
1276,3202,48,22,153,32,4161,222,187,89,3263,0,28,0
1277,3146,130,4,134,5,4726,226,237,145,2100,0,18,0
1278,2843,70,26,335,171,365,238,180,58,1813,0,28,4
1279,2812,63,25,277,137,306,232,180,65,1756,0,28,4
1280,2738,63,33,134,64,162,228,154,33,1613,0,28,4
1281,3037,48,19,430,-8,3005,224,196,99,190,0,28,0
1282,2990,284,12,180,46,1936,185,240,194,1172,0,28,0
1283,2865,85,15,400,193,430,240,213,99,1863,0,28,4
1284,2809,62,24,256,141,285,232,183,70,1718,0,28,4
1285,2720,57,23,95,37,120,229,184,77,1546,0,28,4
1286,2958,55,4,247,-1,1234,222,231,145,2012,0,22,1
1287,2774,58,30,190,96,212,225,164,51,1624,0,28,4
1288,2938,62,5,162,10,972,224,230,142,2313,0,22,1
1289,2771,56,30,175,88,190,224,163,53,1587,0,28,4
1290,2755,62,34,150,76,162,226,150,29,1558,0,28,4
1291,2788,61,26,180,105,210,231,178,65,1572,0,28,4
1292,2750,70,36,120,83,150,232,148,16,1513,0,28,4
1293,2732,71,33,90,61,120,235,158,28,1484,0,28,4
1294,2737,70,34,95,61,120,234,154,24,1477,0,28,4
1295,3212,71,14,402,97,5094,235,213,107,2642,0,21,1
1296,3106,83,6,180,-8,4254,228,230,137,1519,0,22,0
1297,3067,320,4,212,11,3406,209,236,165,591,0,21,0
1298,2960,59,4,90,0,1230,223,231,143,2084,0,22,1
1299,2890,68,17,331,-37,540,235,204,95,1884,0,28,1
1300,2818,65,19,247,135,270,234,199,89,1618,0,28,4
1301,2767,73,36,134,91,150,234,147,12,1500,0,28,4
1302,3187,63,7,258,69,5261,226,226,134,2571,0,21,1
1303,2813,65,19,228,146,242,234,198,88,1583,0,28,4
1304,2773,74,36,150,92,153,236,149,13,1495,0,28,4
1305,3239,180,3,566,60,4673,220,241,156,2726,0,37,0
1306,3192,102,7,319,73,5206,232,231,132,2519,0,21,1
1307,3151,266,15,127,16,5664,181,245,203,2460,0,21,1
1308,2809,82,22,212,128,228,244,196,71,1544,0,28,4
1309,3211,115,4,362,30,5685,227,236,144,2543,0,28,0
1310,3080,0,9,150,3,3751,208,224,154,942,0,21,0
1311,3009,131,10,67,8,2718,237,235,128,573,0,28,0
1312,2799,82,25,201,126,210,245,187,56,1507,0,28,4
1313,3197,247,5,324,47,5873,209,244,173,2382,0,21,0
1314,3181,309,6,67,6,5204,203,236,172,2496,0,21,0
1315,3110,81,6,300,6,4360,228,230,136,1587,0,21,0
1316,3094,4,4,0,0,4030,215,232,155,1226,0,21,0
1317,2791,75,29,180,107,182,240,173,43,1473,0,28,4
1318,3031,253,6,323,59,2297,207,244,175,1127,0,28,1
1319,2830,72,15,210,45,277,236,210,102,1561,0,28,1
1320,2778,80,34,150,109,162,241,159,19,1441,0,28,4
1321,3245,45,3,564,66,4387,220,233,150,2650,0,21,0
1322,2930,79,7,90,1,997,230,227,130,2280,0,22,1
1323,3046,144,13,210,2,3200,238,237,127,573,0,28,1
1324,2850,113,14,108,13,400,244,224,107,1651,0,28,1
1325,2769,79,31,60,-15,175,242,167,31,1411,0,28,4
1326,3193,97,10,319,19,5153,237,225,119,2358,0,28,0
1327,3036,149,11,150,-7,3238,235,239,134,601,0,28,1
1328,2957,123,10,150,-8,1337,237,233,126,2135,0,21,1
1329,2756,70,31,30,-19,153,235,163,36,1383,0,28,4
1330,3252,49,5,589,8,4283,222,229,143,2554,0,21,0
1331,3229,61,2,454,19,4709,221,234,149,2324,0,37,0
1332,2993,286,14,30,10,2699,179,239,199,895,0,22,0
1333,3173,57,7,457,78,4964,225,226,136,2110,0,28,0
1334,3188,67,8,170,6,5121,228,224,129,2118,0,21,0
1335,3178,49,5,474,83,5004,222,229,143,2132,0,18,0
1336,3175,48,6,446,80,4978,223,227,140,2103,0,28,0
1337,3105,140,8,30,3,4555,233,238,136,1641,0,22,0
1338,2762,61,30,60,-13,170,228,165,49,1362,0,28,4
1339,3219,324,6,366,38,5803,205,233,168,2184,0,21,1
1340,3219,352,8,319,38,5748,206,226,158,2206,0,28,0
1341,2737,52,29,90,52,120,220,165,60,1277,0,28,4
1342,3206,261,5,446,35,5980,209,242,172,2098,0,21,1
1343,3164,88,19,361,102,3878,245,205,82,849,0,28,1
1344,2933,58,4,0,0,1138,223,230,143,2353,0,22,0
1345,2790,60,23,108,-8,234,231,187,77,1401,0,28,4
1346,3199,108,3,342,16,5367,225,236,146,2363,0,21,0
1347,2815,55,18,120,-14,297,229,199,97,1465,0,28,4
1348,3218,61,12,313,35,5649,230,215,117,2187,0,21,0
1349,3207,72,3,301,24,5541,223,233,146,2244,0,21,0
1350,3081,184,11,175,23,3720,223,247,157,618,0,28,1
1351,3042,56,10,42,-2,3443,227,218,124,408,0,19,0
1352,2821,58,18,150,-15,306,230,200,97,1471,0,28,4
1353,2776,73,25,175,95,190,239,185,62,1354,0,28,4
1354,2765,75,21,150,77,162,240,197,78,1324,0,28,4
1355,3216,58,9,335,33,5635,227,222,129,2174,0,21,0
1356,3049,293,5,306,62,2471,205,239,173,1025,0,28,0
1357,2806,66,21,190,-23,256,235,193,80,1419,0,28,4
1358,3185,32,3,0,0,5165,219,232,150,1919,0,22,0
1359,3018,106,9,150,3,2979,235,229,125,558,0,28,0
1360,2821,58,21,212,-19,295,230,192,86,1455,0,28,4
1361,2800,64,26,218,112,242,233,178,61,1397,0,28,4
1362,3025,307,9,90,14,3250,194,235,180,350,0,28,0
1363,2762,62,27,150,76,175,231,173,58,1319,0,28,4
1364,2734,68,30,108,43,124,234,166,42,1262,0,28,4
1365,3047,78,15,170,0,3480,238,211,99,277,0,28,0
1366,3040,277,10,218,48,2607,192,242,189,882,0,28,0
1367,2953,60,7,134,-8,1366,225,226,135,2147,0,22,1
1368,2826,46,27,258,145,283,216,170,73,1423,0,29,4
1369,2736,49,26,108,49,127,221,175,73,1254,0,28,4
1370,2737,44,22,108,41,124,219,186,91,1237,0,28,4
1371,3196,336,9,67,7,5142,199,227,167,1766,0,22,0
1372,3062,329,1,0,0,3830,215,237,159,485,0,19,1
1373,2927,51,16,258,34,741,226,205,108,1900,0,28,1
1374,2914,29,8,335,37,564,217,222,140,1708,0,28,1
1375,2806,76,39,234,119,255,235,141,0,1371,0,28,4
1376,3019,312,6,0,0,2962,203,235,172,524,0,22,0
1377,2811,80,35,255,115,268,241,156,15,1383,0,28,4
1378,3199,268,6,216,13,5918,204,243,178,1736,0,21,1
1379,2841,82,18,319,154,335,242,205,86,1450,0,29,4
1380,2800,67,28,242,109,256,235,173,51,1369,0,28,4
1381,2768,57,22,170,75,175,229,187,80,1288,0,28,4
1382,2747,52,21,124,60,127,225,189,87,1235,0,28,4
1383,3204,101,1,60,2,4905,221,237,152,1698,0,22,0
1384,3091,90,13,192,31,2315,240,219,107,1201,0,28,1
1385,2763,56,22,162,76,170,228,189,83,1276,0,28,4
1386,3170,284,4,175,8,4488,209,240,169,1170,0,28,0
1387,2847,64,23,350,151,362,234,187,73,1476,0,29,4
1388,2826,71,25,300,135,309,238,184,63,1422,0,29,4
1389,2812,71,25,277,130,283,238,182,60,1396,0,28,4
1390,2756,48,23,120,98,124,221,183,84,1240,0,29,4
1391,3024,331,6,30,3,3194,206,233,165,300,0,22,0
1392,2940,3,16,443,47,738,197,208,146,1872,0,28,1
1393,2771,34,20,153,113,162,213,193,108,1282,0,29,4
1394,3037,10,4,60,8,1889,215,231,153,1680,0,29,0
1395,2974,6,10,216,49,1047,208,222,150,2192,0,28,0
1396,2785,35,17,190,127,201,216,201,116,1323,0,28,4
1397,2823,72,26,313,136,323,238,180,57,1441,0,29,4
1398,2811,67,21,285,124,295,236,193,80,1415,0,28,4
1399,2792,26,14,201,134,212,213,208,129,1340,0,28,4
1400,3213,97,4,120,18,4659,226,234,143,1637,0,22,0
1401,3097,92,15,210,33,3944,242,215,98,459,0,28,1
1402,3080,343,14,268,57,2789,190,218,165,755,0,28,0
1403,2799,27,11,212,151,218,216,216,136,1357,0,28,4
1404,3227,328,3,247,6,5805,212,236,162,1800,0,21,0
1405,2837,53,27,335,185,342,223,170,64,1473,0,29,4
1406,2802,47,10,218,149,228,224,217,127,1374,0,28,4
1407,2799,66,9,190,140,201,229,221,124,1350,0,29,4
1408,3242,315,17,153,47,5015,173,224,190,1448,0,28,1
1409,3213,39,6,319,-7,5536,221,226,141,1820,0,21,0
1410,3095,138,13,268,47,3987,240,235,122,503,0,29,1
1411,2773,80,48,124,112,134,226,107,0,1298,0,29,4
1412,3038,90,9,108,3,3676,233,227,125,234,0,22,0
1413,3040,310,12,108,18,3302,186,231,185,300,0,22,0
1414,2847,50,27,323,199,335,220,172,70,1482,0,29,1
1415,2809,67,18,242,150,256,235,201,91,1410,0,29,4
1416,2779,78,47,134,118,150,227,111,0,1318,0,29,4
1417,3215,28,23,175,35,5523,204,183,105,1366,0,28,1
1418,3221,219,3,256,25,6006,216,243,164,1622,0,21,0
1419,2786,76,46,150,132,162,226,113,0,1338,0,29,4
1420,3255,285,16,190,60,4992,175,239,203,1361,0,28,1
1421,3076,34,10,134,-6,2218,219,218,134,1430,0,29,0
1422,2806,31,18,216,145,228,213,199,117,1403,0,29,4
1423,2743,76,49,134,81,150,222,103,0,1337,0,29,4
1424,2728,62,29,108,72,124,230,166,0,1315,0,29,4
1425,3043,324,14,108,35,1691,184,224,179,2028,0,28,0
1426,2842,62,28,309,187,323,231,172,55,1490,0,29,4
1427,2803,74,46,175,141,190,224,111,0,1379,0,29,4
1428,3241,31,23,228,52,5561,207,183,102,1289,0,28,1
1429,3217,244,6,218,-3,6025,208,245,175,1566,0,21,0
1430,2899,35,18,430,240,443,215,198,113,1602,0,28,1
1431,2760,75,49,170,95,175,219,99,0,1379,0,29,4
1432,3290,24,16,182,20,3842,210,205,128,1940,0,37,0
1433,2856,53,28,335,195,350,223,169,63,1530,0,28,4
1434,3305,205,7,430,110,5167,216,246,166,1206,0,28,1
1435,3213,235,8,210,-7,6056,207,247,178,1518,0,21,0
1436,3074,331,12,162,11,3302,192,225,172,469,0,28,0
1437,3084,88,12,242,-1,2214,238,220,110,1513,0,22,0
1438,2914,30,14,390,-30,470,215,208,126,1640,0,28,1
1439,2828,72,45,228,163,234,223,113,0,1443,0,29,4
1440,2710,66,32,90,53,95,232,160,0,1345,0,29,4
1441,3276,354,10,42,6,4055,204,223,157,1719,0,22,0
1442,3077,76,9,90,18,2014,232,223,124,1754,0,29,0
1443,2847,35,22,255,68,277,211,186,100,1486,0,29,4
1444,2789,74,49,201,35,218,219,99,0,1445,0,29,4
1445,2857,63,24,228,78,285,233,183,70,1507,0,29,4
1446,2743,61,33,108,24,150,226,154,0,1410,0,29,4
1447,3331,358,15,361,61,3635,196,211,152,2014,0,37,0
1448,3072,329,17,60,13,1905,178,218,179,1914,0,28,0
1449,2824,93,45,190,45,268,240,130,0,1510,0,29,4
1450,2753,57,32,95,34,162,222,155,41,1434,0,29,4
1451,2722,53,32,42,3,108,218,153,45,1398,0,29,4
1452,3062,101,4,60,2,4136,226,234,144,722,0,28,0
1453,3044,2,7,30,3,3681,211,227,154,484,0,22,0
1454,2827,84,46,162,26,283,233,119,0,1533,0,29,4
1455,2810,76,29,150,31,256,241,172,0,1513,0,29,4
1456,2764,55,31,85,10,175,222,159,48,1458,0,29,4
1457,3047,85,15,573,58,1433,240,213,99,2483,0,28,1
1458,2878,82,44,150,48,323,234,124,0,1575,0,29,4
1459,2827,84,46,134,-2,295,233,118,0,1556,0,29,4
1460,3260,256,8,306,34,5626,202,245,182,1471,0,21,0
1461,2830,79,46,108,0,309,229,116,0,1579,0,29,4
1462,2820,60,25,95,-9,283,230,181,0,1560,0,29,4
1463,2740,54,29,0,0,134,222,165,57,1456,0,29,4
1464,3266,65,13,120,40,4507,232,212,110,1242,0,28,0
1465,3056,37,5,90,0,3795,220,229,145,589,0,22,0
1466,3101,303,14,277,1,3399,181,233,192,631,0,28,1
1467,3057,85,16,592,56,1482,241,211,96,2467,0,28,1
1468,2950,37,5,180,5,591,220,229,146,1803,0,28,1
1469,2840,78,44,85,10,324,231,121,0,1602,0,29,4
1470,2788,55,28,0,0,216,224,168,59,1539,0,29,4
1471,2747,56,30,67,-6,150,224,162,51,1492,0,29,4
1472,2732,60,31,85,-7,120,227,161,45,1477,0,29,4
1473,3237,152,14,541,146,5386,237,239,130,1503,0,21,0
1474,2741,63,31,108,-12,124,229,160,40,1504,0,29,4
1475,2991,83,8,170,32,859,231,227,128,2060,0,28,1
1476,2802,59,28,85,-6,228,228,171,58,1600,0,29,1
1477,3133,20,29,212,69,4042,185,165,102,805,0,28,0
1478,3139,34,3,324,9,2509,219,232,149,1504,0,28,0
1479,3112,73,7,95,12,2294,229,226,131,1718,0,28,0
1480,3335,52,14,240,36,4207,226,208,112,1302,0,28,0
1481,3035,53,7,402,55,1261,224,225,135,2424,0,28,1
1482,3168,300,5,379,37,3153,205,238,172,1003,0,28,1
1483,2717,74,35,85,52,90,237,154,19,1599,0,29,4
1484,3280,162,4,319,40,5206,223,240,152,750,0,28,1
1485,3082,106,7,532,28,1717,232,232,132,2391,0,28,1
1486,2816,75,27,201,-20,242,241,177,49,1691,0,29,1
1487,2722,75,34,95,57,95,238,156,20,1627,0,29,4
1488,2857,87,21,175,-26,335,245,201,75,1760,0,29,1
1489,3230,207,3,313,20,5569,217,242,161,1234,0,22,0
1490,3048,96,4,424,68,1370,227,233,141,2544,0,28,1
1491,2732,77,33,124,70,127,240,162,26,1682,0,29,4
1492,2714,74,32,95,52,108,239,164,31,1671,0,29,4
1493,3242,16,7,242,15,5940,214,226,148,999,0,21,0
1494,3021,148,15,212,41,1194,239,237,124,2402,0,28,1
1495,2772,82,31,190,117,192,244,171,34,1733,0,29,4
1496,3108,48,26,30,10,3868,219,175,75,934,0,29,0
1497,3183,28,8,331,-30,2952,217,223,141,1315,0,28,1
1498,3181,39,9,335,-32,2925,221,220,134,1337,0,28,1
1499,3165,14,12,330,65,2605,209,216,143,1615,0,28,0
1500,3121,50,12,60,14,2368,225,214,121,1842,0,28,0
1501,2740,76,31,150,87,170,240,165,32,1738,0,29,4
1502,2706,76,30,108,47,124,240,171,39,1717,0,29,4
1503,3102,57,11,85,15,5056,228,217,121,1507,0,21,0
1504,3375,61,13,150,-6,4142,230,212,112,1195,0,37,0
1505,2730,80,31,150,80,175,243,168,31,1784,0,29,4
1506,3284,319,9,120,41,4734,198,232,174,703,0,28,1
1507,2700,80,27,95,54,120,244,180,47,1793,0,29,4
1508,3285,308,12,90,51,4702,188,232,185,700,0,28,1
1509,2753,86,32,190,103,210,246,170,28,1851,0,29,4
1510,3246,27,2,30,0,5476,218,234,153,566,0,37,0
1511,3218,58,4,228,21,5379,223,230,143,1211,0,28,0
1512,2720,85,28,150,70,153,246,180,43,1860,0,29,4
1513,3090,36,6,60,3,4825,220,226,143,1383,0,21,0
1514,2755,87,31,210,109,218,247,173,31,1907,0,29,4
1515,2706,83,26,120,52,134,245,184,52,1879,0,29,4
1516,3250,308,6,127,5,5562,204,236,171,573,0,37,0
1517,3244,54,40,255,146,4039,209,125,0,1154,0,29,0
1518,3047,72,7,362,11,1597,228,227,133,2793,0,28,0
1519,2681,78,23,67,31,90,242,191,66,1892,0,29,4
1520,3226,47,8,190,13,6119,223,223,135,800,0,22,0
1521,3208,338,5,90,-5,3141,209,233,162,1440,0,28,0
1522,2793,85,31,277,147,295,246,173,33,1984,0,29,4
1523,2725,81,27,162,81,182,244,180,47,1945,0,29,4
1524,3200,172,5,30,0,5673,223,242,154,949,0,18,0
1525,3277,287,20,424,179,4254,160,234,213,1262,0,28,1
1526,3015,37,5,124,17,1020,220,229,146,2394,0,28,1
1527,2982,117,11,301,4,860,238,230,121,2288,0,28,1
1528,2795,80,31,270,-134,306,243,168,31,2012,0,29,4
1529,2713,76,25,150,63,162,242,184,57,1966,0,29,4
1530,3279,62,8,67,3,4927,227,223,130,408,0,37,1
1531,3206,304,7,124,-7,3302,201,237,175,1410,0,21,0
1532,3208,48,7,85,-6,2982,223,225,137,1617,0,28,0
1533,2959,53,14,295,29,742,227,210,113,2233,0,28,1
1534,2731,75,27,175,45,201,240,178,50,2003,0,29,4
1535,2679,71,24,85,33,90,238,185,63,1972,0,29,4
1536,3267,319,4,270,22,5675,208,235,166,592,0,21,0
1537,3169,277,24,240,84,4606,150,237,223,1248,0,21,0
1538,3158,282,6,216,-2,3542,204,240,175,1366,0,28,0
1539,3042,83,6,108,9,1443,229,230,135,2737,0,28,1
1540,3039,104,6,95,6,1415,230,233,136,2717,0,28,1
1541,2727,68,26,124,18,190,236,179,59,2052,0,29,4
1542,3289,0,0,0,0,4773,218,238,156,458,0,28,1
1543,2817,72,32,150,-85,342,236,161,31,2125,0,29,4
1544,2733,66,26,108,24,201,234,177,59,2081,0,29,4
1545,3145,63,13,362,16,2200,231,214,113,2396,0,28,0
1546,3113,345,11,268,11,1987,197,222,163,2598,0,28,0
1547,2786,71,32,120,31,295,236,162,33,2135,0,29,4
1548,2726,65,25,67,17,180,234,182,66,2103,0,29,4
1549,2704,61,23,30,18,120,232,186,75,2089,0,29,4
1550,2895,84,19,90,-29,503,243,203,82,2234,0,28,1
1551,3230,298,16,391,87,4508,174,233,198,1148,0,28,1
1552,3200,280,7,150,-18,3439,202,241,178,1544,0,21,0
1553,3122,32,9,242,-6,2095,218,221,138,2554,0,28,0
1554,2715,68,24,0,0,120,236,186,68,2148,0,29,4
1555,2702,75,27,30,-6,90,240,179,53,2142,0,29,4
1556,3161,340,5,85,-5,3666,210,233,162,1492,0,22,0
1557,2742,67,23,0,0,182,236,186,69,2190,0,29,4
1558,3198,269,9,180,-20,3491,196,244,187,1588,0,21,0
1559,2708,80,29,67,-17,108,244,174,39,2200,0,29,4
1560,3172,30,9,0,0,5224,218,220,137,1053,0,28,0
1561,3166,8,5,30,0,3721,214,230,153,1543,0,22,0
1562,3052,72,9,0,0,1691,231,223,125,3010,0,22,0
1563,2751,83,23,42,-8,201,245,194,67,2249,0,29,4
1564,2726,86,25,67,-15,150,247,189,57,2236,0,29,4
1565,3287,333,4,335,22,5730,210,234,163,571,0,21,1
1566,3262,88,5,242,10,6300,228,231,137,420,0,21,0
1567,3207,85,6,85,5,5649,228,230,136,824,0,21,0
1568,3217,313,16,240,74,4696,175,226,191,990,0,21,0
1569,3276,272,14,591,169,4374,183,244,199,1132,0,28,1
1570,3200,263,8,150,-17,3489,201,244,182,1655,0,21,0
1571,3224,352,2,134,5,3220,216,236,157,1790,0,21,0
1572,2921,70,18,60,-3,553,237,203,91,2384,0,28,1
1573,2779,90,28,60,-26,268,249,184,44,2292,0,29,4
1574,2724,93,26,124,-35,150,250,191,53,2295,0,29,4
1575,3292,347,3,360,27,5760,213,234,159,601,0,21,1
1576,3222,25,9,0,0,3032,216,221,141,1974,0,21,0
1577,3063,54,15,60,-5,1731,228,207,109,3056,0,28,0
1578,2996,80,16,162,24,972,239,210,97,2620,0,28,1
1579,2763,87,27,120,-60,240,247,186,50,2343,0,29,4
1580,2799,87,31,150,-71,295,247,174,32,2387,0,29,4
1581,2736,98,25,150,88,180,251,196,58,2359,0,29,4
1582,2722,100,28,120,74,150,252,190,46,2353,0,29,4
1583,3275,278,8,60,10,5461,197,242,184,313,0,37,1
1584,3230,297,11,210,87,4776,190,237,186,866,0,28,0
1585,3207,99,12,300,45,4082,240,223,112,1298,0,21,1
1586,3040,0,5,242,0,1413,212,230,156,2916,0,22,0
1587,3006,88,11,150,28,994,237,221,114,2687,0,28,1
1588,2701,99,31,90,53,120,252,180,31,2377,0,29,4
1589,3296,356,3,270,31,5672,214,234,157,524,0,21,0
1590,2733,93,28,150,85,162,250,185,44,2418,0,29,4
1591,2699,94,31,90,51,108,250,177,32,2407,0,29,4
1592,3208,0,9,124,-2,5394,206,222,154,900,0,21,0
1593,3191,286,20,30,12,4965,162,235,212,781,0,22,0
1594,3186,28,6,60,7,3810,218,228,146,1533,0,21,0
1595,2802,86,31,240,-100,272,246,171,30,2474,0,29,4
1596,2784,87,31,240,-110,242,247,173,31,2467,0,29,4
1597,2699,91,31,90,51,95,249,176,32,2436,0,29,4
1598,2823,80,33,270,-95,300,242,161,22,2510,0,29,4
1599,2803,83,33,270,-108,270,244,166,24,2503,0,29,4
1600,2785,85,31,240,137,240,246,170,29,2496,0,29,4
1601,2716,94,30,120,68,120,251,181,37,2471,0,29,4
1602,2698,94,31,90,52,90,251,178,32,2466,0,29,4
1603,3214,2,8,124,8,5555,209,225,154,924,0,21,0
1604,2768,88,32,210,120,210,248,169,25,2519,0,29,4
1605,3286,307,9,127,16,5497,194,235,180,408,0,37,0
1606,3197,290,9,60,9,3690,195,239,183,1651,0,22,0
1607,3141,35,13,201,12,1899,218,210,125,3024,0,28,1
1608,2830,88,35,256,128,300,246,161,14,2568,0,29,4
1609,3247,285,10,124,29,3489,192,240,188,1861,0,28,0
1610,2849,95,32,240,89,330,250,173,25,2605,0,29,4
1611,2747,93,33,175,98,180,249,169,20,2571,0,29,4
1612,2727,93,33,150,78,150,250,170,21,2565,0,29,4
1613,3142,48,17,277,13,1834,224,200,104,3108,0,28,1
1614,2847,94,33,210,87,323,250,173,24,2618,0,29,4
1615,2827,94,34,201,67,295,250,167,17,2616,0,29,4
1616,2787,92,34,182,85,240,249,168,18,2613,0,29,4
1617,2746,90,33,162,97,180,248,168,22,2601,0,29,4
1618,3273,330,9,240,55,3408,198,229,170,1954,0,28,0
1619,2708,89,33,95,59,120,248,167,20,2580,0,29,4
1620,2621,162,13,60,-6,849,232,243,139,1521,2,19,4
1621,3235,255,5,212,21,4871,209,243,172,618,0,22,0
1622,2664,112,5,60,-8,1214,229,234,139,1719,2,19,4
1623,2633,68,8,42,2,979,228,225,130,1594,2,19,4
1624,2662,105,5,30,-3,1211,228,234,140,1731,2,19,4
1625,3246,6,10,124,20,5998,208,222,150,510,0,21,0
1626,3207,347,5,124,-17,4012,210,231,160,1332,0,21,0
1627,2674,10,8,30,1,1295,211,224,149,1801,2,19,4
1628,2635,45,8,30,9,955,223,223,135,1624,2,32,1
1629,2780,76,34,30,20,212,238,155,18,2433,0,29,4
1630,2707,71,31,0,0,95,236,164,36,2430,0,29,4
1631,3216,328,7,42,-6,4050,203,232,168,1300,0,21,0
1632,2731,67,31,30,-9,134,233,161,36,2400,0,29,4
1633,3259,56,10,175,41,2733,227,218,124,2575,0,28,0
1634,2729,70,32,90,-30,124,235,161,33,2340,0,29,4
1635,3285,141,3,240,30,6012,224,238,150,430,0,21,0
1636,2770,69,31,95,-35,190,234,162,35,2311,0,29,4
1637,2716,75,33,90,70,108,238,158,23,2310,0,29,4
1638,2650,26,19,60,19,1008,208,197,119,1771,2,32,1
1639,2644,9,32,210,87,847,168,160,114,1740,2,32,1
1640,3217,51,3,120,5,5179,221,232,147,300,0,21,0
1641,3231,317,10,42,6,4054,194,231,178,1266,0,38,0
1642,2794,71,33,120,-50,228,235,157,27,2282,0,29,4
1643,3301,219,6,402,85,3337,213,246,169,1969,0,28,0
1644,3059,153,13,127,22,1396,235,240,133,2594,0,28,1
